INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
I182105273,3410,Towed,TOWED MOTOR VEHICLE,B3,441,12/31/18 23:16,2018,12,Monday,23,Part Three,HARVARD ST,42.29634574,-71.08181681,"(42.29634574, -71.08181681)"
I192000503,1402,Vandalism,VANDALISM,B3,428,12/31/18 23:00,2018,12,Monday,23,Part Two,HOSMER ST,42.28079658,-71.09039724,"(42.28079658, -71.09039724)"
I182105266,2905,Violations,VAL - OPERATING WITHOUT LICENSE,B3,428,12/31/18 22:55,2018,12,Monday,22,Part Two,BLUE HILL AVE,42.28125925,-71.09231215,"(42.28125925, -71.09231215)"
I182105266,1300,Recovered Stolen Property,STOLEN PROPERTY - BUYING / RECEIVING / POSSESSING,B3,428,12/31/18 22:55,2018,12,Monday,22,Part Two,BLUE HILL AVE,42.28125925,-71.09231215,"(42.28125925, -71.09231215)"
I182105259,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B3,908,12/31/18 22:23,2018,12,Monday,22,Part Three,FRANKLIN HILL AVE,42.29558507,-71.09158038,"(42.29558507, -71.09158038)"
I182105257,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B3,428,12/31/18 21:32,2018,12,Monday,21,Part Three,HOSMER ST,42.28079658,-71.09039724,"(42.28079658, -71.09039724)"
I192000078,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,B3,944,12/31/18 21:00,2018,12,Monday,21,Part One,AMES ST,42.29041466,-71.08643312,"(42.29041466, -71.08643312)"
I192000993,1402,Vandalism,VANDALISM,B3,476,12/31/18 21:00,2018,12,Monday,21,Part Two,CUMMINS HWY,42.2686423,-71.095655,"(42.26864230, -71.09565500)"
I182105234,3301,Verbal Disputes,VERBAL DISPUTE,B3,417,12/31/18 19:56,2018,12,Monday,19,Part Three,STOCKTON ST,42.28265604,-71.07374541,"(42.28265604, -71.07374541)"
I182105209,3301,Verbal Disputes,VERBAL DISPUTE,B3,418,12/31/18 19:22,2018,12,Monday,19,Part Three,EVANS ST,42.28252537,-71.07977256,"(42.28252537, -71.07977256)"
I182105213,3108,Fire Related Reports,"FIRE REPORT - HOUSE, BUILDING, ETC.",B3,565,12/31/18 19:12,2018,12,Monday,19,Part Three,KINGBIRD RD,42.29234026,-71.09338241,"(42.29234026, -71.09338241)"
I192000482,2007,Restraining Order Violations,VIOL. OF RESTRAINING ORDER W NO ARREST,B3,469,12/31/18 18:35,2018,12,Monday,18,Part Two,WALK HILL ST,42.28082671,-71.09754718,"(42.28082671, -71.09754718)"
I182105219,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B3,458,12/31/18 18:32,2018,12,Monday,18,Part Three,MICHIGAN AVE,42.30250605,-71.083294,"(42.30250605, -71.08329400)"
I182105205,3115,Investigate Person,INVESTIGATE PERSON,B3,422,12/31/18 18:10,2018,12,Monday,18,Part Three,RIVER ST,42.27132363,-71.08183509,"(42.27132363, -71.08183509)"
I182105166,1415,Vandalism,GRAFFITI,B3,410,12/31/18 16:15,2018,12,Monday,16,Part Two,OLD MORTON ST,42.27430113,-71.07196905,"(42.27430113, -71.07196905)"
I182105163,3114,Investigate Property,INVESTIGATE PROPERTY,B3,428,12/31/18 15:23,2018,12,Monday,15,Part Three,MORTON ST,42.28187061,-71.08751152,"(42.28187061, -71.08751152)"
I182105148,3115,Investigate Person,INVESTIGATE PERSON,B3,428,12/31/18 14:35,2018,12,Monday,14,Part Three,WOOLSON ST,42.2818866,-71.0908705,"(42.28188660, -71.09087050)"
I182105139,3301,Verbal Disputes,VERBAL DISPUTE,B3,417,12/31/18 14:07,2018,12,Monday,14,Part Three,STOCKTON ST,42.28265604,-71.07374541,"(42.28265604, -71.07374541)"
I182105116,3201,Property Lost,PROPERTY - LOST,B3,456,12/31/18 13:31,2018,12,Monday,13,Part Three,ELLINGTON ST,42.30154555,-71.08118184,"(42.30154555, -71.08118184)"
I192000060,3501,Missing Person Reported,MISSING PERSON,B3,429,12/31/18 13:30,2018,12,Monday,13,Part Three,HARWOOD ST,42.2857651,-71.08763245,"(42.28576510, -71.08763245)"
I192000060,3502,Missing Person Located,MISSING PERSON - LOCATED,B3,429,12/31/18 13:30,2018,12,Monday,13,Part Three,HARWOOD ST,42.2857651,-71.08763245,"(42.28576510, -71.08763245)"
I182105121,1402,Vandalism,VANDALISM,B3,435,12/31/18 13:15,2018,12,Monday,13,Part Two,PEACEVALE RD,42.28716674,-71.07633479,"(42.28716674, -71.07633479)"
I182105121,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,B3,435,12/31/18 13:15,2018,12,Monday,13,Part One,PEACEVALE RD,42.28716674,-71.07633479,"(42.28716674, -71.07633479)"
I182105131,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B3,422,12/31/18 13:10,2018,12,Monday,13,Part Three,RIVER ST,42.27133005,-71.08299865,"(42.27133005, -71.08299865)"
I182105119,3301,Verbal Disputes,VERBAL DISPUTE,B3,427,12/31/18 13:01,2018,12,Monday,13,Part Three,FESSENDEN ST,42.27855984,-71.09199697,"(42.27855984, -71.09199697)"
I182105109,3201,Property Lost,PROPERTY - LOST,B3,439,12/31/18 12:53,2018,12,Monday,12,Part Three,FLOYD ST,42.28834693,-71.0860772,"(42.28834693, -71.08607720)"
I192000440,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,B3,436,12/31/18 11:45,2018,12,Monday,11,Part Three,NORFOLK ST,42.28905291,-71.07389014,"(42.28905291, -71.07389014)"
