INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
I192000804,2629,Harassment,HARASSMENT,B3,417,1/1/19 0:00,2019,1,Tuesday,0,Part Two,MORA ST,42.28208198,-71.07364875,"(42.28208198, -71.07364875)"
I192001272,3201,Property Lost,PROPERTY - LOST,B3,441,1/1/19 1:00,2019,1,Tuesday,1,Part Three,BERNARD ST,42.29601397,-71.08085483,"(42.29601397, -71.08085483)"
I192000029,735,Auto Theft Recovery,RECOVERED - MV RECOVERED IN BOSTON (STOLEN OUTSIDE BOSTON),B3,565,1/1/19 1:30,2019,1,Tuesday,1,Other,GREENOCK ST,42.29105051,-71.09122374,"(42.29105051, -71.09122374)"
I192000029,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,B3,565,1/1/19 1:30,2019,1,Tuesday,1,Part Three,GREENOCK ST,42.29105051,-71.09122374,"(42.29105051, -71.09122374)"
I192000054,111,Homicide,"MURDER, NON-NEGLIGIENT MANSLAUGHTER",B3,465,1/1/19 3:05,2019,1,Tuesday,3,Part One,JOHNSTON RD,42.28750526,-71.09212143,"(42.28750526, -71.09212143)"
I192000068,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,B3,426,1/1/19 3:31,2019,1,Tuesday,3,Part One,BLUE HILL AVE,42.26820198,-71.09367344,"(42.26820198, -71.09367344)"
I192000079,617,Larceny,LARCENY THEFT FROM BUILDING,B3,419,1/1/19 3:41,2019,1,Tuesday,3,Part One,BORDER ST,42.37382755,-71.04052459,"(42.37382755, -71.04052459)"
I192000099,3301,Verbal Disputes,VERBAL DISPUTE,B3,421,1/1/19 5:40,2019,1,Tuesday,5,Part Three,W SELDEN ST,42.27967492,-71.08381263,"(42.27967492, -71.08381263)"
I192000100,1402,Vandalism,VANDALISM,B3,434,1/1/19 6:48,2019,1,Tuesday,6,Part Two,NORFOLK TER,42.28602099,-71.0802869,"(42.28602099, -71.08028690)"
I192000117,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B3,435,1/1/19 7:25,2019,1,Tuesday,7,Part Three,ARMANDINE ST,42.28431486,-71.07410838,"(42.28431486, -71.07410838)"
I192000110,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B3,463,1/1/19 8:00,2019,1,Tuesday,8,Part Three,BLUE HILL AVE,42.2973366,-71.08729604,"(42.29733660, -71.08729604)"
I192000110,3410,Towed,TOWED MOTOR VEHICLE,B3,463,1/1/19 8:00,2019,1,Tuesday,8,Part Three,BLUE HILL AVE,42.2973366,-71.08729604,"(42.29733660, -71.08729604)"
I192000109,3114,Investigate Property,INVESTIGATE PROPERTY,B3,421,1/1/19 8:02,2019,1,Tuesday,8,Part Three,W SELDEN ST,42.27967492,-71.08381263,"(42.27967492, -71.08381263)"
I192000109,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B3,421,1/1/19 8:02,2019,1,Tuesday,8,Part Three,W SELDEN ST,42.27967492,-71.08381263,"(42.27967492, -71.08381263)"
I192000108,3205,License Plate Related Incidents,M/V PLATES - LOST,B3,420,1/1/19 8:52,2019,1,Tuesday,8,Part Three,LORNA RD,42.27663372,-71.08527294,"(42.27663372, -71.08527294)"
I192000112,3205,License Plate Related Incidents,M/V PLATES - LOST,B3,420,1/1/19 9:19,2019,1,Tuesday,9,Part Three,LORNA RD,42.27663372,-71.08527294,"(42.27663372, -71.08527294)"
I192000128,3410,Towed,TOWED MOTOR VEHICLE,B3,440,1/1/19 10:43,2019,1,Tuesday,10,Part Three,TALBOT AVE,42.29453954,-71.0866989,"(42.29453954, -71.08669890)"
I192000150,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B3,428,1/1/19 10:54,2019,1,Tuesday,10,Part Three,ASTORIA ST,42.28020477,-71.0869124,"(42.28020477, -71.08691240)"
I192000249,3501,Missing Person Reported,MISSING PERSON,B3,565,1/1/19 12:26,2019,1,Tuesday,12,Part Three,KINGBIRD RD,42.29234026,-71.09338241,"(42.29234026, -71.09338241)"
I192000249,3502,Missing Person Located,MISSING PERSON - LOCATED,B3,565,1/1/19 12:26,2019,1,Tuesday,12,Part Three,KINGBIRD RD,42.29234026,-71.09338241,"(42.29234026, -71.09338241)"
I192000176,1501,Firearm Violations,"WEAPON - FIREARM - CARRYING / POSSESSING, ETC",B3,423,1/1/19 13:00,2019,1,Tuesday,13,Part Two,RIDGEVIEW AVE,42.27183167,-71.08568187,"(42.27183167, -71.08568187)"
I192000175,3501,Missing Person Reported,MISSING PERSON,B3,424,1/1/19 13:33,2019,1,Tuesday,13,Part Three,RIVER ST,42.27014779,-71.08956535,"(42.27014779, -71.08956535)"
I192000175,3502,Missing Person Located,MISSING PERSON - LOCATED,B3,424,1/1/19 13:33,2019,1,Tuesday,13,Part Three,RIVER ST,42.27014779,-71.08956535,"(42.27014779, -71.08956535)"
I192000192,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B3,322,1/1/19 13:50,2019,1,Tuesday,13,Part Three,WARREN ST,42.31503085,-71.08344018,"(42.31503085, -71.08344018)"
I192000197,3301,Verbal Disputes,VERBAL DISPUTE,B3,467,1/1/19 14:17,2019,1,Tuesday,14,Part Three,WELLINGTON HILL ST,42.28464725,-71.09473285,"(42.28464725, -71.09473285)"
