INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
I182000006,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,B3,565,12/31/17 23:34,2017,12,Sunday,23,Part Three,SNOWDEN WAY,42.29071406,-71.09234897,"(42.29071406, -71.09234897)"
I182000209,3402,Service,ANIMAL INCIDENTS,B3,465,12/31/17 22:23,2017,12,Sunday,22,Part Three,HANSBOROUGH ST,42.28810362,-71.09153335,"(42.28810362, -71.09153335)"
I172107694,3410,Towed,TOWED MOTOR VEHICLE,B3,424,12/31/17 21:20,2017,12,Sunday,21,Part Three,JAMESTOWN TER,42.27242817,-71.08828632,"(42.27242817, -71.08828632)"
I172107690,3301,Verbal Disputes,VERBAL DISPUTE,B3,458,12/31/17 20:56,2017,12,Sunday,20,Part Three,GLENWAY ST,42.30131086,-71.08443841,"(42.30131086, -71.08443841)"
I172107679,2647,Other,THREATS TO DO BODILY HARM,B3,565,12/31/17 20:55,2017,12,Sunday,20,Part Two,OSPREY WAY,42.2920332,-71.093993,"(42.29203320, -71.09399300)"
I172107679,1402,Vandalism,VANDALISM,B3,565,12/31/17 20:55,2017,12,Sunday,20,Part Two,OSPREY WAY,42.2920332,-71.093993,"(42.29203320, -71.09399300)"
I172107666,3115,Investigate Person,INVESTIGATE PERSON,B3,464,12/31/17 19:54,2017,12,Sunday,19,Part Three,HARVARD ST,42.29076615,-71.09161537,"(42.29076615, -71.09161537)"
I172107649,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B3,418,12/31/17 18:00,2017,12,Sunday,18,Part Three,MAXWELL ST,42.28220579,-71.07791871,"(42.28220579, -71.07791871)"
I172107630,724,Auto Theft,AUTO THEFT,B3,464,12/31/17 17:29,2017,12,Sunday,17,Part One,BROOKVIEW ST,42.2887411,-71.09117797,"(42.28874110, -71.09117797)"
I172107650,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,B3,474,12/31/17 17:25,2017,12,Sunday,17,Part One,SAVANNAH AVE,42.27189681,-71.10283363,"(42.27189681, -71.10283363)"
I172107627,3503,Missing Person Located,MISSING PERSON - NOT REPORTED - LOCATED,B3,428,12/31/17 16:35,2017,12,Sunday,16,Part Three,SUTTON ST,42.28197224,-71.08912459,"(42.28197224, -71.08912459)"
I172107611,3125,Warrant Arrests,WARRANT ARREST,B3,427,12/31/17 15:25,2017,12,Sunday,15,Part Three,RIVER ST,42.26956689,-71.09075049,"(42.26956689, -71.09075049)"
I172107611,361,Robbery,ROBBERY - OTHER,B3,427,12/31/17 15:25,2017,12,Sunday,15,Part One,RIVER ST,42.26956689,-71.09075049,"(42.26956689, -71.09075049)"
I172107611,3115,Investigate Person,INVESTIGATE PERSON,B3,427,12/31/17 15:25,2017,12,Sunday,15,Part Three,RIVER ST,42.26956689,-71.09075049,"(42.26956689, -71.09075049)"
I172107610,2900,Other,VAL - VIOLATION OF AUTO LAW - OTHER,B3,944,12/31/17 14:18,2017,12,Sunday,14,Part Two,AMES ST,42.28956988,-71.08510501,"(42.28956988, -71.08510501)"
I172107582,2647,Other,THREATS TO DO BODILY HARM,B3,432,12/31/17 13:26,2017,12,Sunday,13,Part Two,BALLOU AVE,42.2876304,-71.08067304,"(42.28763040, -71.08067304)"
I172107583,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B3,425,12/31/17 11:51,2017,12,Sunday,11,Part Three,FREMONT ST,42.27094651,-71.09193626,"(42.27094651, -71.09193626)"
I172107576,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B3,428,12/31/17 11:39,2017,12,Sunday,11,Part Three,SUTTON ST,42.28197224,-71.08912459,"(42.28197224, -71.08912459)"
I172107562,802,Simple Assault,ASSAULT SIMPLE - BATTERY,B3,444,12/31/17 11:37,2017,12,Sunday,11,Part Two,ABBOT ST,42.29686162,-71.08584183,"(42.29686162, -71.08584183)"
I172107553,3114,Investigate Property,INVESTIGATE PROPERTY,B3,438,12/31/17 11:06,2017,12,Sunday,11,Part Three,MILLET ST,42.29098101,-71.07589348,"(42.29098101, -71.07589348)"
I172107555,3803,Motor Vehicle Accident Response,M/V ACCIDENT - PERSONAL INJURY,B3,467,12/31/17 10:33,2017,12,Sunday,10,Part Three,HARVARD ST,42.28341302,-71.09857926,"(42.28341302, -71.09857926)"
I172107549,3803,Motor Vehicle Accident Response,M/V ACCIDENT - PERSONAL INJURY,B3,424,12/31/17 10:17,2017,12,Sunday,10,Part Three,BABSON ST,42.27336116,-71.09196824,"(42.27336116, -71.09196824)"
I172107546,3114,Investigate Property,INVESTIGATE PROPERTY,B3,422,12/31/17 10:06,2017,12,Sunday,10,Part Three,RIVER ST,42.27132363,-71.08183509,"(42.27132363, -71.08183509)"
I172107543,3115,Investigate Person,INVESTIGATE PERSON,B3,428,12/31/17 9:40,2017,12,Sunday,9,Part Three,SUTTON ST,42.28197224,-71.08912459,"(42.28197224, -71.08912459)"
I182012122,3502,Missing Person Located,MISSING PERSON - LOCATED,B3,422,12/31/17 8:00,2017,12,Sunday,8,Part Three,RIVER ST,42.27133005,-71.08299865,"(42.27133005, -71.08299865)"
I182012122,3501,Missing Person Reported,MISSING PERSON,B3,422,12/31/17 8:00,2017,12,Sunday,8,Part Three,RIVER ST,42.27133005,-71.08299865,"(42.27133005, -71.08299865)"
I172107526,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,B3,422,12/31/17 7:42,2017,12,Sunday,7,Part Three,RIVER ST,42.27133005,-71.08299865,"(42.27133005, -71.08299865)"
I172107524,3018,Medical Assistance,SICK/INJURED/MEDICAL - POLICE,B3,464,12/31/17 6:14,2017,12,Sunday,6,Part Three,WASHINGTON ST,42.32866284,-71.08563401,"(42.32866284, -71.08563401)"
I172107505,3115,Investigate Person,INVESTIGATE PERSON,B3,435,12/31/17 3:32,2017,12,Sunday,3,Part Three,DUNBAR AVE,42.28659867,-71.07325436,"(42.28659867, -71.07325436)"
I172107505,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,B3,435,12/31/17 3:32,2017,12,Sunday,3,Part One,DUNBAR AVE,42.28659867,-71.07325436,"(42.28659867, -71.07325436)"
I172107494,2647,Other,THREATS TO DO BODILY HARM,B3,466,12/31/17 2:47,2017,12,Sunday,2,Part Two,DEERING RD,42.28414025,-71.09305138,"(42.28414025, -71.09305138)"
I172107483,615,Larceny From Motor Vehicle,LARCENY THEFT OF MV PARTS & ACCESSORIES,B3,428,12/31/17 1:08,2017,12,Sunday,1,Part One,LESTON ST,42.28349153,-71.08991288,"(42.28349153, -71.08991288)"
I172107586,3301,Verbal Disputes,VERBAL DISPUTE,B3,466,12/31/17 0:00,2017,12,Sunday,0,Part Three,GOODALE RD,42.2836283,-71.09349553,"(42.28362830, -71.09349553)"
I172107607,3002,Medical Assistance,ANIMAL CONTROL - DOG BITES - ETC.,B3,413,12/31/17 0:00,2017,12,Sunday,0,Part Three,GALLIVAN BLVD,42.27846043,-71.07778192,"(42.27846043, -71.07778192)"
I172107476,2610,Other,TRESPASSING,B3,458,12/30/17 23:46,2017,12,Saturday,23,Part Two,BLUE HILL AVE,42.30238881,-71.08539388,"(42.30238881, -71.08539388)"
I172107476,802,Simple Assault,ASSAULT SIMPLE - BATTERY,B3,458,12/30/17 23:46,2017,12,Saturday,23,Part Two,BLUE HILL AVE,42.30238881,-71.08539388,"(42.30238881, -71.08539388)"
I172107476,560,Other Burglary,BURGLARY - OTHER - FORCE,B3,458,12/30/17 23:46,2017,12,Saturday,23,Part One,BLUE HILL AVE,42.30238881,-71.08539388,"(42.30238881, -71.08539388)"
I172107476,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,B3,458,12/30/17 23:46,2017,12,Saturday,23,Part One,BLUE HILL AVE,42.30238881,-71.08539388,"(42.30238881, -71.08539388)"
I172107476,423,Aggravated Assault,ASSAULT - AGGRAVATED,B3,458,12/30/17 23:46,2017,12,Saturday,23,Part One,BLUE HILL AVE,42.30238881,-71.08539388,"(42.30238881, -71.08539388)"
I172107476,3125,Warrant Arrests,WARRANT ARREST,B3,458,12/30/17 23:46,2017,12,Saturday,23,Part Three,BLUE HILL AVE,42.30238881,-71.08539388,"(42.30238881, -71.08539388)"
I172107464,3208,Property Lost,PROPERTY - MISSING,B3,469,12/30/17 21:39,2017,12,Saturday,21,Part Three,WALK HILL ST,42.27791465,-71.09452937,"(42.27791465, -71.09452937)"
I172107471,3115,Investigate Person,INVESTIGATE PERSON,B3,465,12/30/17 20:59,2017,12,Saturday,20,Part Three,WILCOCK ST,42.2868893,-71.09222991,"(42.28688930, -71.09222991)"
I172107458,2906,Violations,VAL - OPERATING UNREG/UNINS Â CAR,B3,425,12/30/17 20:11,2017,12,Saturday,20,Part Two,BABSON ST,42.27336116,-71.09196824,"(42.27336116, -71.09196824)"
I172107458,2907,Violations,VAL - OPERATING AFTER REV/SUSP.,B3,425,12/30/17 20:11,2017,12,Saturday,20,Part Two,BABSON ST,42.27336116,-71.09196824,"(42.27336116, -71.09196824)"
I182002787,1402,Vandalism,VANDALISM,B3,420,12/30/17 20:00,2017,12,Saturday,20,Part Two,MORTON ST,42.27995083,-71.08185417,"(42.27995083, -71.08185417)"
I172107618,1402,Vandalism,VANDALISM,B3,445,12/30/17 19:00,2017,12,Saturday,19,Part Two,YORK ST,42.29955614,-71.08073767,"(42.29955614, -71.08073767)"
I172107427,3108,Fire Related Reports,"FIRE REPORT - HOUSE, BUILDING, ETC.",B3,425,12/30/17 18:07,2017,12,Saturday,18,Part Three,BLUE HILL AVE,42.2729449,-71.09348933,"(42.27294490, -71.09348933)"
I172107462,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,B3,944,12/30/17 17:49,2017,12,Saturday,17,Part Three,STRATTON ST,42.28933096,-71.08351742,"(42.28933096, -71.08351742)"
I172107462,1300,Recovered Stolen Property,STOLEN PROPERTY - BUYING / RECEIVING / POSSESSING,B3,944,12/30/17 17:49,2017,12,Saturday,17,Part Two,STRATTON ST,42.28933096,-71.08351742,"(42.28933096, -71.08351742)"
I172107412,3301,Verbal Disputes,VERBAL DISPUTE,B3,458,12/30/17 17:25,2017,12,Saturday,17,Part Three,GLENWAY ST,42.30131086,-71.08443841,"(42.30131086, -71.08443841)"
I172107403,802,Simple Assault,ASSAULT SIMPLE - BATTERY,B3,464,12/30/17 16:51,2017,12,Saturday,16,Part Two,BLUE HILL AVE,42.29171816,-71.08911807,"(42.29171816, -71.08911807)"
I172107440,3007,Medical Assistance,SUDDEN DEATH,B3,457,12/30/17 15:45,2017,12,Saturday,15,Part Three,CHARLOTTE ST,42.29944216,-71.08489748,"(42.29944216, -71.08489748)"
I172107399,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B3,472,12/30/17 15:08,2017,12,Saturday,15,Part Three,BLUE HILL AVE,42.27386225,-71.09369539,"(42.27386225, -71.09369539)"
I172107380,3301,Verbal Disputes,VERBAL DISPUTE,B3,429,12/30/17 14:46,2017,12,Saturday,14,Part Three,LUCERNE ST,42.2841584,-71.0894298,"(42.28415840, -71.08942980)"
I172107379,2006,Restraining Order Violations,VIOL. OF RESTRAINING ORDER W ARREST,B3,453,12/30/17 14:24,2017,12,Saturday,14,Part Two,GAYLORD ST,42.2983937,-71.07395875,"(42.29839370, -71.07395875)"
I172107379,3125,Warrant Arrests,WARRANT ARREST,B3,453,12/30/17 14:24,2017,12,Saturday,14,Part Three,GAYLORD ST,42.2983937,-71.07395875,"(42.29839370, -71.07395875)"
I172107366,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,B3,944,12/30/17 14:18,2017,12,Saturday,14,Part Three,STRATTON ST,42.28933096,-71.08351742,"(42.28933096, -71.08351742)"
I172107357,802,Simple Assault,ASSAULT SIMPLE - BATTERY,B3,943,12/30/17 13:11,2017,12,Saturday,13,Part Two,STANDARD ST,42.27661501,-71.08029831,"(42.27661501, -71.08029831)"
I172107337,1102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,B3,474,12/30/17 12:14,2017,12,Saturday,12,Part Two,SAVANNAH AVE,42.27189681,-71.10283363,"(42.27189681, -71.10283363)"
I172107371,613,Larceny,LARCENY SHOPLIFTING,B3,406,12/30/17 11:50,2017,12,Saturday,11,Part One,RIVER ST,42.27222808,-71.07006149,"(42.27222808, -71.07006149)"
I172107344,3301,Verbal Disputes,VERBAL DISPUTE,B3,422,12/30/17 11:45,2017,12,Saturday,11,Part Three,RIVER ST,42.27133005,-71.08299865,"(42.27133005, -71.08299865)"
